path,svcId,svcPlugins,albDNS,svcName,k8sSvcName,k8sNameSpace,selectorApp,k8sDeployName
/api/cross/user/v1,"932a91ee-8cf5-4cd1-a981-c8cea356ec66",;cors;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00033-retrieve-user",ms-integrations-user,dev-ns-legacy,"ms-integrations-user","ms-integrations-user"
/api/cross/orders/v1,"b95e35e8-0725-4710-916c-fcbe5f6fa2ca",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00046-cross-orders",,,,
/api/integrations/tracking/v1,"1fde41af-5f34-4988-bea2-418d0eb93c04",;jwt-keycloak;key-auth;cors,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00076-cross-tracking",,,,
"/emision2WS/BXEMS004_Impresion","e22e7c50-41ba-4f2b-89d4-ea12506bd20f",,"172.20.83.156",,,,,
/api/tracking/v1/webhook,"a59215f3-40e4-4eb8-862c-e08ac1222fab",;cors;key-auth;jwt-keycloak,"internal-k8s-ingresstrackingfa-e871bb3fe1-715156709.us-west-2.elb.amazonaws.com","dev-srv00092-tracking-webhook",ms-fast-tracking-webhook,dev-ns-fast-tracking,"ms-fast-tracking-webhook","ms-fast-tracking-webhook"
/api/integration/meli/tracking/v1,"de435be0-b2a6-40ce-8d24-3e281eb8e3f8",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00059-tracking-pull",ms-integrations-tracking-pull-meli-rest,dev-ns-legacy,"ms-integrations-tracking-pull-meli-rest","ms-integrations-tracking-pull-meli-rest"
/api/cms/strapi/v1,"450edb9f-0a55-4d0b-a89e-6370e04ed677",;key-auth,"internal-k8s-ingresslabs-ebb660f881-924612432.us-west-2.elb.amazonaws.com","dev-srv00082-cms-strapi",,,,
/api/pyme2c/emissions/v1,"87281be1-70f2-426e-93ed-f61d4e221411",;jwt-keycloak;key-auth;cors,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00007-pyme2c-front-pyme2c",,,,
/api/cross/materials/v1,"07026069-49bb-41a7-9ad0-498e831c8286",;cors;jwt-keycloak;key-auth,"internal-k8s-ingresspyme2c2-4b51db8d45-1145592882.us-west-2.elb.amazonaws.com","dev-srv00061-cross-materials",ms-pyme2c-materials,dev-ns-legacy,"ms-pyme2c-materials","ms-pyme2c-materials"
"/api/cms/v1",ERROR: Mas de un service para el path,,,,,,,
"/GeneradorEtiqueta2WS/BXGET001_generadorEtiqueta","c2c9dd38-4197-4339-968c-887b7c87a39b",,"172.20.83.156",,,,,
/api/fulfillment/ticket/v1,"ad73cc5b-056b-455a-9545-7a9201aab0c2",;jwt-keycloak;key-auth;cors,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00045-fulfillment-ticket",ms-fulfillment-ticket,dev-ns-fulfillment,"ms-fulfillment-ticket","ms-fulfillment-ticket"
/api/cross/customer/v1,"653090a9-5a43-4691-986f-5aca7186594c",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00038-cross-customer",,,,
/api/containers/container/v1,"82309151-df86-47b3-834e-07865b14624c",;jwt-keycloak;key-auth,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00068-containers-container",ms-container-api,dev-ns-containers,"ms-container-api","ms-container-api"
"/api/pyme2c/reports/v1",ERROR: Mas de un service para el path,,,,,,,
